timestamp,date,temperature (*C),humidity (%),pressure (hPa),wind_speed (km/h),wind_direction,battery_voltage (V)
1613977312,2021-02-22T08:01:52+01:00,14.38,31,1001.28,0.00,3.0,12.6
1613977911,2021-02-22T08:11:51+01:00,12.88,41,998.05,2.70,6.0,12.6
1613978511,2021-02-22T08:21:51+01:00,11.56,42,996.11,0.00,5.0,12.6
1613979113,2021-02-22T08:31:53+01:00,10.69,43,994.99,0.10,6.0,12.6
1613979713,2021-02-22T08:41:53+01:00,10.31,43,994.44,0.40,9.0,12.6
1613980314,2021-02-22T08:51:54+01:00,10.31,43,994.19,1.30,3.0,12.6
1613980913,2021-02-22T09:01:53+01:00,10.12,42,994.09,0.30,5.0,12.6
1613981512,2021-02-22T09:11:52+01:00,10.25,42,994.18,0.20,3.0,12.6
1613982113,2021-02-22T09:21:53+01:00,10.44,41,994.37,0.20,2.0,12.6
1613982712,2021-02-22T09:31:52+01:00,10.44,40,994.49,0.10,2.0,12.6
1613983312,2021-02-22T09:41:52+01:00,10.38,39,994.40,2.60,1.0,12.6
1613983909,2021-02-22T09:51:49+01:00,10.06,39,994.03,4.30,2.0,12.7
1613984511,2021-02-22T10:01:51+01:00,10.19,39,994.22,2.50,4.0,12.7
1613985114,2021-02-22T10:11:54+01:00,10.38,39,994.50,0.50,2.0,12.7
1613985713,2021-02-22T10:21:53+01:00,10.88,38,995.33,4.10,2.0,12.8
1613986312,2021-02-22T10:31:52+01:00,10.94,37,995.55,0.00,3.0,12.9
1613986913,2021-02-22T10:41:53+01:00,11.31,37,996.16,0.10,4.0,13.0
1613987512,2021-02-22T10:51:52+01:00,11.62,37,996.64,0.00,11.0,13.1
1613988115,2021-02-22T11:01:55+01:00,12.56,36,998.47,0.30,3.0,14.7
1613988713,2021-02-22T11:11:53+01:00,13.06,36,998.93,2.60,4.0,14.7
1613989311,2021-02-22T11:21:51+01:00,13.00,36,999.23,0.00,4.0,14.6
1613989912,2021-02-22T11:31:52+01:00,13.19,36,999.14,1.30,11.0,14.6
1613990511,2021-02-22T11:41:51+01:00,13.12,36,999.14,2.10,8.0,14.6
1613991110,2021-02-22T11:51:50+01:00,15.50,35,1002.44,4.90,8.0,14.6
1613991709,2021-02-22T12:01:49+01:00,15.62,36,1002.22,4.20,3.0,14.6
1613992313,2021-02-22T12:11:53+01:00,15.94,35,1003.39,4.70,4.0,14.5
1613992911,2021-02-22T12:21:51+01:00,16.06,57,1003.25,7.50,4.0,14.5
1613993512,2021-02-22T12:31:52+01:00,16.25,34,1003.77,5.90,2.0,14.5
1613994111,2021-02-22T12:41:51+01:00,16.56,35,1004.14,3.20,3.0,14.5
1613994713,2021-02-22T12:51:53+01:00,16.44,34,1004.04,5.40,1.0,14.5
1613995313,2021-02-22T13:01:53+01:00,16.44,34,1003.90,2.10,3.0,14.5
1613995912,2021-02-22T13:11:52+01:00,16.06,34,1003.49,10.00,2.0,14.5
1613996514,2021-02-22T13:21:54+01:00,16.31,35,1004.07,6.70,6.0,14.5
1613997112,2021-02-22T13:31:52+01:00,15.88,35,1003.14,9.10,3.0,13.9
1613997714,2021-02-22T13:41:54+01:00,15.75,35,1003.23,11.50,2.0,14.0
1613998313,2021-02-22T13:51:53+01:00,16.06,35,1004.02,2.50,5.0,14.0
1613998912,2021-02-22T14:01:52+01:00,16.19,35,1004.10,1.90,3.0,13.9
1613999512,2021-02-22T14:11:52+01:00,16.25,35,1004.40,0.20,2.0,13.9
1614000112,2021-02-22T14:21:52+01:00,16.62,35,1004.91,3.60,4.0,13.9
1614000711,2021-02-22T14:31:51+01:00,16.88,35,1005.25,1.40,4.0,13.9
1614001312,2021-02-22T14:41:52+01:00,16.25,34,1004.33,0.40,5.0,13.9
1614001912,2021-02-22T14:51:52+01:00,15.50,35,1002.82,0.00,8.0,14.5
